,,,,,,,
Código,Classificação,Grupo,Valor,% Partic,% Lucro,%% Vendas,Núm. Clientes
,,,,,,,Atendidos
10141,1.10.108.001,                Sal Especial,"12.915,93","21,59","28,29","0,03",0
10142,1.10.108.001.001,                      Sal Light E Zero,"0,00","0,00","0,00","0,00",0
10143,1.10.108.001.002,                      Sal Marinho,"2.037,26","15,77","27,96","0,01",470
10144,1.10.108.001.003,                      Sal Parrilha,"9.596,69","74,30","28,33","0,03",457
10145,1.10.108.001.004,                      Sal Rosa E Flor De Sal,"1.281,98","9,93","28,49","0,00",82
10146,1.10.108.002,                Sal Grosso,"7.659,15","12,80","30,00","0,02",0
10147,1.10.108.002.001,                      Sal Grosso Temperado,"5.286,76","69,02","29,27","0,01",711
10148,1.10.108.002.002,                      Sal Grosso Tradicional,"2.372,39","30,98","31,63","0,01",671
10149,1.10.108.003,                Sal Refinado,"39.244,58","65,61","31,69","0,10",0
10150,1.10.108.003.001,                      Sal Refinado Ate 1kg,"37.853,67","96,46","31,71","0,10",10127
10151,1.10.108.003.002,                      Sal Refinado Temperado,"1.390,91","3,54","31,06","0,00",322
10152,1.10.108.003.003,                      Sal Sache 1g,"0,00","0,00","0,00","0,00",0
10153,1.11,    Seca Salgada,"2.346.374,97","11,96","24,92","6,08",0
10154,1.11.109,          Atomatados,"230.754,47","9,84","21,07","0,60",0
10155,1.11.109.001,                Extrato De Tomate,"165.429,75","71,69","20,36","0,43",0
10156,1.11.109.001.001,                      Extrato De Tomate Lata,"104.040,72","62,89","19,87","0,27",10127
10157,1.11.109.001.002,                      Extrato De Tomate Lata Acima De 1kg,"97,40","0,06","16,50","0,00",2
10158,1.11.109.001.003,                      Extrato De Tomate Sache,"24.559,31","14,85","24,54","0,06",4358
10159,1.11.109.001.004,                      Extrato De Tomate Sache Acima De 1kg,"23.976,54","14,49","15,20","0,06",1163
10160,1.11.109.001.005,                      Extrato De Tomate Tp,"9.295,18","5,62","26,11","0,02",1170
10161,1.11.109.001.006,                      Extrato De Tomate Vidro,"3.460,60","2,09","25,89","0,01",375
10162,1.11.109.002,                Molhos Refogados,"57.611,89","24,97","22,46","0,15",0
10163,1.11.109.002.001,                      Refogado Saborizado Lata,"0,00","0,00","0,00","0,00",0
10164,1.11.109.002.002,                      Refogado Saborizado Lata Acima De 1kg,"0,00","0,00","0,00","0,00",0
10165,1.11.109.002.003,                      Refogado Saborizado Sache,"14.226,55","24,69","24,53","0,04",2597
10166,1.11.109.002.004,                      Refogado Saborizado Sache Acima De 1kg,"327,47","0,57","13,40","0,00",18
10167,1.11.109.002.005,                      Refogado Saborizado Tp,"0,00","0,00","0,00","0,00",0
10168,1.11.109.002.006,                      Refogado Saborizado Vidro,"0,00","0,00","0,00","0,00",0
10169,1.11.109.002.007,                      Refogado Tradicional Lata,"1.060,06","1,84","23,49","0,00",102
10170,1.11.109.002.008,                      Refogado Tradicional Lata Acima De 1kg,"0,00","0,00","0,00","0,00",0
10171,1.11.109.002.009,                      Refogado Tradicional Sache,"38.676,97","67,13","22,11","0,10",8877
10172,1.11.109.002.010,                      Refogado Tradicional Sache Acima De 1kg,"3.320,84","5,76","18,27","0,01",309
10173,1.11.109.002.011,                      Refogado Tradicional Tp,"0,00","0,00","0,00","0,00",0
10174,1.11.109.002.012,                      Refogado Tradicional Vidro,"0,00","0,00","0,00","0,00",0
10175,1.11.109.003,                Outros Derivados De Tomate,"7.712,83","3,34","25,81","0,02",0
10176,1.11.109.003.001,                      Polpa De Tomate,"6.029,15","78,17","26,49","0,02",544
10177,1.11.109.003.002,                      Tomate Pelado,"1.683,68","21,83","23,37","0,00",71
10178,1.11.110,          Azeites E Oleo Composto,"25.864,91","1,10","26,54","0,07",0
10179,1.11.110.001,                Azeites,"23.830,77","92,14","26,63","0,06",0
10180,1.11.110.001.001,                      Azeite De Dende,"126,00","0,53","35,18","0,00",5
10181,1.11.110.001.002,                      Azeite De Oliva Comum,"7.603,77","31,91","26,63","0,02",234
10182,1.11.110.001.003,                      Azeite De Oliva Extra Virgem,"16.101,00","67,56","26,56","0,04",383
10183,1.11.110.001.004,                      Azeite Especial,"0,00","0,00","0,00","0,00",0
10184,1.11.110.002,                Oleo Composto,"2.034,14","7,86","25,47","0,01",0
10185,1.11.110.002.001,                      Oleo Composto Oliva,"2.034,14","100,00","25,47","0,01",56
10186,1.11.110.002.002,                      Oleo Composto Sabores,"0,00","0,00","0,00","0,00",0
10187,1.11.110.002.003,                      Oleo Misto,"0,00","0,00","0,00","0,00",0
10188,1.11.111,          Conservas,"338.612,16","14,43","23,09","0,88",0
10189,1.11.111.001,                Azeitonas,"42.398,61","12,52","24,15","0,11",0
10190,1.11.111.001.001,                      Preta C/ Caroco Acima De 1kg,"0,00","0,00","0,00","0,00",0
10191,1.11.111.001.002,                      Preta C/ Caroco Sache,"0,00","0,00","0,00","0,00",0
10192,1.11.111.001.003,                      Preta C/ Caroco Vidro,"28,80","0,07","28,89","7,46",2
10193,1.11.111.001.004,                      Preta Fatiada Acima De 1kg,"0,00","0,00","0,00","0,00",0
10194,1.11.111.001.005,                      Preta Fatiada Sache,"0,00","0,00","0,00","0,00",0
10195,1.11.111.001.006,                      Preta Fatiada Vidro,"0,00","0,00","0,00","0,00",0
10196,1.11.111.001.007,                      Preta S/ Caroco Acima De 1kg,"0,00","0,00","0,00","0,00",0
10197,1.11.111.001.008,                      Preta S/ Caroco Sache,"0,00","0,00","0,00","0,00",0
10198,1.11.111.001.009,                      Preta S/ Caroco Vidro,"503,36","1,19","27,30","0,00",17
10199,1.11.111.001.010,                      Recheada Acima De 1kg,"0,00","0,00","0,00","0,00",0
10200,1.11.111.001.011,                      Recheada Sache,"4.590,50","10,83","28,69","0,01",390
10201,1.11.111.001.012,                      Recheada Vidro,"476,99","1,12","27,40","0,00",16
10202,1.11.111.001.013,                      Verde C/ Caroco Acima De 1kg,"1.088,60","2,57","19,74","0,00",24
10203,1.11.111.001.014,                      Verde C/ Caroco Sache,"12.791,91","30,17","23,45","0,03",1562
10204,1.11.111.001.015,                      Verde C/ Caroco Vidro,"9.025,88","21,29","21,25","0,02",396
10205,1.11.111.001.016,                      Verde Fatiada Acima De 1kg,"0,00","0,00","0,00","0,00",0
10206,1.11.111.001.017,                      Verde Fatiada Sache,"6.622,39","15,62","24,25","0,02",630
10207,1.11.111.001.018,                      Verde Fatiada Vidro,"0,00","0,00","0,00","0,00",0
10208,1.11.111.001.019,                      Verde S/ Caroco Acima De 1kg,"0,00","0,00","0,00","0,00",0
10209,1.11.111.001.020,                      Verde S/ Caroco Sache,"7.270,18","17,15","26,24","0,02",678
10210,1.11.111.001.021,                      Verde S/ Caroco Vidro,"0,00","0,00","0,00","0,00",0
10211,1.11.111.002,                Conservas Vegetais,"130.231,99","38,46","23,94","0,34",0
10212,1.11.111.002.001,                      Alcaparra Em Conserva,"272,32","0,21","28,45","0,00",17
10213,1.11.111.002.002,                      Aspargo Em Conserva,"0,00","0,00","0,00","0,00",0
10214,1.11.111.002.003,                      Cogumelo Acima De 1kg,"0,00","0,00","0,00","0,00",0
10215,1.11.111.002.004,                      Cogumelo Conserva,"5.549,29","4,26","28,80","0,01",323
10216,1.11.111.002.005,                      Grao De Bico Em Conserva,"0,00","0,00","0,00","0,00",0
10217,1.11.111.002.006,                      Outros Vegetais Conserva,"5.048,20","3,88","25,38","0,01",289
10218,1.11.111.002.007,                      Ovo De Codorna Em Conserva,"23.462,74","18,02","24,02","0,06",912
10219,1.11.111.002.008,                      Pepino Em Conserva,"86.442,25","66,38","23,46","0,22",6119
10220,1.11.111.002.009,                      Pepino Em Conserva Acima De 1kg,"2.494,62","1,92","21,67","0,01",47
10221,1.11.111.002.010,                      Pickles Em Conserva,"2.246,89","1,72","27,71","0,01",122
10222,1.11.111.002.011,                      Seleta De Legumes,"4.462,23","3,43","24,24","0,01",676
10223,1.11.111.002.012,                      Tomate Seco Acima De 1kg,"91,96","0,07","24,14","0,00",4
10224,1.11.111.002.013,                      Tomate Seco Conserva,"161,49","0,12","23,13","0,00",7
10225,1.11.111.003,                Milhos E Ervilhas,"82.369,78","24,33","20,52","0,21",0
10226,1.11.111.003.001,                      Dueto,"8.882,50","10,78","25,51","0,02",1588
10227,1.11.111.003.002,                      Ervilha Conserva,"4.447,38","5,40","20,45","0,01",708
10228,1.11.111.003.003,                      Milho Conserva,"69.039,90","83,82","19,89","0,18",11210
10229,1.11.111.004,                Palmito Em Conserva,"14.025,39","4,14","24,61","0,04",0
10230,1.11.111.004.001,                      Palmito Inteiro,"1.611,31","11,49","24,86","0,00",61
10231,1.11.111.004.002,                      Palmito Picado,"10.891,82","77,66","24,39","0,03",624
10232,1.11.111.004.003,                      Palmito Rodela,"854,05","6,09","28,07","0,00",37
10233,1.11.111.004.004,                      Pamito Tolete,"668,21","4,76","23,19","0,00",15
10234,1.11.111.005,                Peixes Em Conserva,"69.586,39","20,55","23,60","0,18",0
10235,1.11.111.005.001,                      Atum Molho,"0,00","0,00","0,00","0,00",0
10236,1.11.111.005.002,                      Atum Pedaco,"4.126,98","5,93","30,11","0,01",201
10237,1.11.111.005.003,                      Atum Ralado,"7.314,86","10,51","21,51","0,02",336
10238,1.11.111.005.004,                      Atum Solido,"1.896,82","2,73","27,37","0,01",91
10239,1.11.111.005.005,                      File De Sardinha Conserva,"587,75","0,84","27,67","0,00",29
10240,1.11.111.005.006,                      Outros Peixes Em Conserva,"243,19","0,35","28,32","0,00",9
10241,1.11.111.005.007,                      Sardinha Conserva,"28.250,42","40,60","23,13","0,07",2344
10242,1.11.111.005.008,                      Sardinha Saborizada,"27.166,37","39,04","23,28","0,07",2275
10243,1.11.112,          Massas Secas,"514.058,27","21,91","24,47","1,33",0
10244,1.11.112.001,                Massas Instantaneas,"197.513,07","38,42","21,00","0,51",0
10245,1.11.112.001.001,                      Massa Instantanea Copo,"49.641,22","25,13","16,21","0,13",4480
10246,1.11.112.001.002,                      Massa Instantanea Lamen,"139.658,14","70,71","22,58","0,36",15344
10247,1.11.112.001.003,                      Massa Instantanea Talharin,"2.660,55","1,35","27,81","0,01",300
10248,1.11.112.001.004,                      Massa Instantanea Yakissoba,"5.553,16","2,81","21,00","0,01",537
10249,1.11.112.002,                Massas Tradicionais,"316.545,20","61,58","26,64","0,82",0
10250,1.11.112.002.001,                      Massa Acima De 3kg,"0,00","0,00","0,00","0,00",0
10251,1.11.112.002.002,                      Massa Caseira,"0,00","0,00","0,00","0,00",0
10252,1.11.112.002.003,                      Massa Com Ovos,"127.927,68","40,41","27,64","0,33",11165
10253,1.11.112.002.004,                      Massa Grano Duro,"90,45","0,03","25,97","0,00",10
10254,1.11.112.002.005,                      Massa Integral,"2.745,37","0,87","29,99","0,01",242
10255,1.11.112.002.006,                      Massa Lasanha,"3.117,56","0,98","27,23","0,01",319
10256,1.11.112.002.007,                      Massa Sem Gluten,"1.750,54","0,55","31,00","0,01",258
10257,1.11.112.002.008,                      Massa Semola,"180.913,60","57,15","25,83","0,47",16835
10258,1.11.113,          Mercearia Complementar,"536.828,33","22,88","26,27","1,39",0
10259,1.11.113.001,                Caldos E Temperos,"144.015,57","26,83","26,99","0,37",0
10260,1.11.113.001.001,                      Alho Processado Mercearia,"0,00","0,00","0,00","0,00",0
10261,1.11.113.001.002,                      Amaciantes De Carne,"2.606,27","1,81","24,40","0,01",229
10262,1.11.113.001.003,                      Caldo Em Po,"4.870,29","3,38","23,61","0,01",491
10263,1.11.113.001.004,                      Caldo Tablete,"25.200,43","17,50","25,80","0,07",4904
10264,1.11.113.001.005,                      Tempero Completo Em Pote E Tubo,"21.639,59","15,03","27,52","0,06",2831
10265,1.11.113.001.006,                      Tempero Em Pasta Acima De 400g,"1.318,34","0,92","27,80","0,00",85
10266,1.11.113.001.007,                      Tempero Em Pasta Ate 400g,"0,00","0,00","0,00","0,00",0
10267,1.11.113.001.008,                      Tempero Em Po,"88.380,65","61,37","27,44","0,23",10054
10268,1.11.113.002,                Catchup E Mostarda,"74.100,33","13,80","26,64","0,19",0
10269,1.11.113.002.001,                      Catchup Diet Light Zero,"0,00","0,00","0,00","0,00",0
10270,1.11.113.002.002,                      Catchup Saborizado,"3.820,66","5,16","28,02","0,01",452
10271,1.11.113.002.003,                      Catchup Sache  7g,"223,84","0,30","17,21","0,00",16
10272,1.11.113.002.004,                      Catchup Tradicional Acima De 1kg,"5.559,38","7,50","18,76","0,01",330
10273,1.11.113.002.005,                      Catchup Tradicional Ate 400g,"33.896,21","45,74","28,11","0,09",4326
10274,1.11.113.002.006,                      Catchup Tradicional De 401g A 1kg,"11.570,06","15,61","25,20","0,03",730
10275,1.11.113.002.007,                      Molho 3 Em 1,"1.081,24","1,46","26,95","0,00",160
10276,1.11.113.002.008,                      Mostarda Amarela Acima De 1kg,"416,17","0,56","20,02","0,00",15
10277,1.11.113.002.009,                      Mostarda Amarela Ate 300g,"11.043,66","14,90","26,91","0,03",1771
10278,1.11.113.002.010,                      Mostarda Amarela De 301g A 1kg,"6.419,16","8,66","27,85","0,02",535
10279,1.11.113.002.011,                      Mostarda Escura E Dijon Acima De 300g,"0,00","0,00","0,00","0,00",0
10280,1.11.113.002.012,                      Mostarda Escura E Dijon Ate 300g,"0,00","0,00","0,00","0,00",0
10281,1.11.113.002.013,                      Mostarda Saborizada,"0,00","0,00","0,00","0,00",0
10282,1.11.113.002.014,                      Mostarda Sache 7g,"69,95","0,09","17,23","0,00",5
10283,1.11.113.003,                Comidas Etnicas,"825,30","0,15","26,78","0,00",0
10284,1.11.113.003.001,                      Culinaria Arabe,"0,00","0,00","0,00","0,00",0
10285,1.11.113.003.002,                      Culinaria Latina,"0,00","0,00","0,00","0,00",0
10286,1.11.113.003.003,                      Culinaria Oriental,"825,30","100,00","26,78","0,00",36
10287,1.11.113.004,                Especiarias,"79.933,93","14,89","29,96","0,21",0
10288,1.11.113.004.001,                      Acafrao,"1.171,98","1,47","30,81","0,00",258
10289,1.11.113.004.002,                      Alecrim,"0,00","0,00","0,00","0,00",0
10290,1.11.113.004.003,                      Alho,"7.549,04","9,44","27,10","0,02",827
